"Liu Measurement SPL-3.5NPR (X = 2.2D, Y = 1D)"			"Liu LES SPL-3.5NPR (X = 2.2D, Y = 1D)"			"Liu LES SPL-3.5NPR w/wallfunc (X = 5D, Y = 2.3D)"			"Liu Experiment SPL-3.5NPR (X = 5D, Y = 2.3D)"			"Liu LES SPL-3.5NPR w/slipwall (X = 5D, Y = 2.3D)"	
			4931.1	115.607		0.297226986	120.8365117		1.024228337	119.6855155		0.32804554	128.4091413
			5165.5	117.498		0.29774339	122.4776028		1.085230419	119.7016075		0.332568505	125.6135506
			5409.9	115.611		0.298949312	123.8529028		1.106677976	118.4540061		0.335688279	121.3867371
			5493.8	114.667		0.30021345	125.3786914		1.158165829	117.1970991		0.339936852	121.7482934
			5666.8	116.557		0.300672871	126.9665838		1.187446811	119.1315418		0.343610664	119.1887421
			5755.4	117.502		0.30194746	129.5742562		1.208722114	120.1926129		0.34598782	120.0216575
			5935.3	115.614		0.302073985	128.1732817		1.266840523	117.809888		0.36712849	121.8294459
			6313.4	115.144		0.302686625	131.4501873		1.267353006	119.2186201		0.370467428	120.5857056
			6820	114.674		0.308843672	133.0392061		1.358710113	118.7146677		0.381423164	122.8189993
			7034	113.731		0.313838107	134.4411769		1.363571367	120.050882		0.385992825	124.2997842
			7368	114.677		0.315469401	122.6886587		1.452570013	118.557388		0.393245633	123.5092052
			7482	114.206		0.315752211	130.861212		1.475090975	117.4828799		0.397062204	121.8131758
			7837	115.152		0.315884521	129.4602375		1.556326417	120.5818689		0.397465779	126.318273
			8208	113.737		0.316016887	128.059263		1.559107301	118.7672124		0.402087688	126.5869571
			8465	112.321		0.316263381	125.4518938		1.607451938	117.1540671		0.404106128	124.0277416
			8732	114.684		0.317707567	126.9699194		1.708695372	115.8772585		0.406645574	125.0564635
			9006	113.74		0.319593198	123.934778		1.71521421	117.5714378		0.422888523	122.6513352
			9288	112.797		0.325488431	120.6881119		1.77541736	115.0998777		0.427856695	122.9469601
			9580	114.215		0.334742678	122.2363671		1.844907724	116.943946		0.438149339	124.6582534
			9728	113.271		0.339517971	119.3851891		1.890680793	115.5402487		0.438186971	126.0432078
			9880	114.216		0.349018443	117.5655598		1.98527535	116.8747373		0.443316686	126.5812475
			10189	112.328		0.356116133	121.5214188		1.987681351	114.3449653		0.456544364	126.1857869
			10348	111.856		0.359083835	119.6609971		2.110851028	114.5535194		0.45862493	121.7774787
			10510	114.218		0.37179179	120.6360188		2.111842705	116.1894664		0.465375208	124.0806214
			10675	116.58		0.374491149	123.8594639		2.172370325	113.3873434		0.466431799	123.6153116
			10841	116.581		0.374648786	121.8428986		2.258429287	117.4624472		0.479564929	128.8186462
			11007	114.233		0.391352227	125.085351		2.26864324	115.9580585		0.480258517	125.3644447
			11009	114.22		0.398476583	123.3935682		2.320633282	113.8966173		0.498323912	127.4985335
			11177	109.97		0.403912179	128.3465336		2.340084495	112.1194954		0.500390118	124.5574327
			11353	112.332		0.40408143	126.9455591		2.481378645	115.0257637		0.531943396	122.9957851
			11530	113.749		0.412680685	123.5416257		2.485155441	113.3819099		0.535225459	122.7991839
			11708	111.388		0.413162817	125.221599		2.537619184	112.106965		0.549906368	126.4021227
			11889	109.972		0.428811495	126.9547141		2.656141506	113.7675357		0.566166567	120.8887424
			12455	111.863		0.42985234	128.8562177		2.703717399	111.9747158		0.56880607	122.6283162
			13047	113.282		0.443320719	130.5592993		2.863206928	113.4904825		0.587835884	119.8270573
			13248	110.921		0.454170414	126.291049		2.886753473	111.6495322		0.609150143	121.2545041
			13454	111.394		0.456602868	128.0107812		3.050714359	113.7594346		0.624530109	119.1691258
			13876	110.922		0.469013805	131.2354117		3.0693268	110.6507274		0.643018881	124.6206675
			14314	113.285		0.469210336	129.8344372		3.106674154	112.2859945		0.650605372	118.2351367
			14763	113.758		0.481344586	128.2209411		3.28787008	110.2228382		0.655809087	120.3387157
			15225	112.815		0.494653053	124.1363424		3.316370153	113.0456287		0.665500693	122.8463518
			15702	111.872		0.494936193	126.4872972		3.325521045	111.8457529		0.665652989	122.3823878
			15947	112.344		0.495764716	130.0323526		3.515586094	109.7293683		0.689319915	119.3602753
			16195	111.873		0.503427359	123.4174484		3.573856887	112.0362993		0.717270694	122.5126995
			16703	112.346		0.511143001	128.3997018		3.596730785	108.2283904		0.733945404	119.6504757
			17498	114.237		0.520743427	126.4861284		3.796857569	108.8387136		0.742161057	117.9320514
			17771	115.182		0.524645499	124.9766137		3.814345464	110.3835318		0.74244147	122.6453623
			18612	113.767		0.530218653	123.1481702		3.816137442	112.0194788		0.78187859	122.9116953
			18902	113.295		0.556331951	124.3315523		3.936953894	113.1201773		0.781977307	117.7472197
			19800	114.714		0.556972187	126.0698995		4.064462444	108.9028955		0.788321589	118.8979884
			21060	113.769		0.580220183	123.3520999		4.090262918	110.6975529		0.834728057	122.4241061
			21060	113.771		0.586353666	121.6948866		4.235373665	107.7611469		0.841289576	118.4080745
			22061	114.718		0.588644027	125.4116638		4.364452852	112.1713868		0.876757427	121.8275552
